Cell Label,Matrix 'Consequence' Label,Matrix 'Probability' Label,Legend Label,Line Name,Begin Measure (m),End Measure (m),Length (m)
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,47476.55,47484.658,8.108
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,47484.658,47496.538,11.88
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,47496.538,47506.541,10.003
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,50355.734,50385.725,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,50655.649,50685.64,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,51675.36,51705.352,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,51915.292,51945.284,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,52215.207,52245.199,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,52515.122,52545.114,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,52605.097,52635.088,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,53834.748,53864.74,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,53924.723,53954.714,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,55724.213,55754.205,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,56324.043,56354.035,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,56653.95,56683.941,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,59143.244,59173.236,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,59713.083,59743.074,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,60252.93,60282.311,29.381
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,60282.311,60282.922,0.611
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,62232.369,62262.361,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,62682.242,62692.741,10.499
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,62692.741,62712.233,19.492
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,63102.123,63132.114,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,65861.341,65891.333,29.992
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,66941.035,66944.763,3.728
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,66944.763,66944.864,0.101
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,66944.864,66951.883,7.019
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,66951.883,66951.984,0.101
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,66951.984,66958.433,6.449
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,66958.433,66971.027,12.594
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,67120.984,67150.976,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,67570.857,67600.848,29.992
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,68650.551,68658.168,7.618
12,III,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,68658.168,68680.542,22.374
9,V,Occasional,HIGH Risk,BRETON TO EDMONTON NPS 8,69040.44,69070.432,29.992
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,69400.339,69401.666,1.327
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,69401.666,69422.957,21.291
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,69422.957,69430.33,7.373
9,V,Occasional,HIGH Risk,BRETON TO EDMONTON NPS 8,70749.956,70779.948,29.992
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,70929.905,70959.897,29.992
9,V,Occasional,HIGH Risk,BRETON TO EDMONTON NPS 8,71169.837,71172.21,2.373
6,VI,Occasional,HIGH Risk,BRETON TO EDMONTON NPS 8,71172.21,71199.829,27.619
3,VI,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,73869.072,73889.21,20.138
3,VI,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,73889.21,73899.064,9.854
8,IV,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,74828.801,74832.696,3.895
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,74832.696,74855.072,22.376
17,II,Probable,HIGH Risk,BRETON TO EDMONTON NPS 8,74855.072,74858.792,3.72
8,IV,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,75128.716,75158.707,29.992
3,VI,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,76838.231,76861.387,23.156
3,VI,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,76861.387,76867.343,5.956
3,VI,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,76867.343,76868.223,0.88
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,77707.985,77719.836,11.851
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,77719.836,77725,5.164
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,77725,77735.226,10.226
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,77735.226,77737.976,2.75
8,IV,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,78757.688,78761.419,3.731
8,IV,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,78761.419,78787.679,26.26
3,VI,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,81966.778,81968.822,2.044
3,VI,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,81968.822,81991.913,23.091
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,81991.913,81996.77,4.857
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,84725.997,84755.988,29.992
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,84785.98,84815.971,29.992
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,84965.929,84982.314,16.385
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,84982.314,84995.92,13.606
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,88654.884,88671.142,16.258
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,88671.142,88684.875,13.733
13,IV,Occasional,HIGH Risk,BRETON TO EDMONTON NPS 8,91474.085,91491.963,17.878
9,V,Occasional,HIGH Risk,BRETON TO EDMONTON NPS 8,91491.963,91499.487,7.524
9,V,Occasional,HIGH Risk,BRETON TO EDMONTON NPS 8,91499.487,91501.81,2.323
9,V,Occasional,HIGH Risk,BRETON TO EDMONTON NPS 8,91501.81,91504.076,2.266
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,92013.932,92022.586,8.654
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,92022.586,92042.611,20.026
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,92042.611,92043.923,1.312
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,92073.915,92075.078,1.163
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,92075.078,92087.519,12.441
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,92087.519,92099.084,11.565
5,V,Probable,VERY HIGH Risk,BRETON TO EDMONTON NPS 8,92099.084,92103.906,4.822
