line,id,vendor,US_GWD_number,DS_GWD_number,tool,ILIRStartDate,status,type,vendor_comment,feature_number,feature_ODO,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,install_date,toughness_J,MAOP_kPa,begin_PS,end_PS,begin_VTS,end_VTS,begin_maop,end_maop,start_ILI_segment_m,end_ILI_segment_m
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101120,Rosen,23830,23840,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0035-0000467,35953.484,35816.117,0.36,82,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101119,Rosen,23940,23950,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000038,36093.718,35956.134,0.34,44,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101118,Rosen,24020,24030,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000085,36189.189,36051.474,0.44,68,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101117,Rosen,24020,24030,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000088,36191.623,36053.904,0.7,40,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101116,Rosen,24100,24110,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000162,36290.928,36153.072,0.38,44,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101115,Rosen,24340,24350,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000244,36546.644,36408.412,0.39,178,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101114,Rosen,24350,24360,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000246,36557.092,36418.847,0.55,100,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101113,Rosen,24360,24370,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000262,36572.924,36434.661,0.36,66,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101112,Rosen,24430,24440,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000317,36656.616,36518.259,0.58,24,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101111,Rosen,24450,24460,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000334,36678.667,36540.281,0.34,100,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
