line,InlineInspectionCrackAnomalyId,vendor,tool,ILIRStartDate,status,type,surface,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,toughness_J,install_date,begin_PS,end_PS,MAOP_kPa,begin_maop,end_maop
pipeline,1527406,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61190.17892,0.2946,19,19,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527407,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61191.17892,0.2461,87,87,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527416,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61192.17892,0.2422,72,72,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527420,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61193.17892,0.2422,69,69,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527422,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61194.17892,0.2829,81,81,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527433,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61195.17892,0.2422,52,52,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527435,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61196.17892,0.2965,45,45,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527436,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61197.17892,0.2597,53,53,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527440,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61198.17892,0.2888,47,47,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527441,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61199.17892,0.2888,25,25,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527445,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61200.17892,0.2364,119,119,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527450,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61201.17892,0.25,28,28,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527451,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61202.17892,0.2733,34,34,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527452,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61203.17892,0.2733,37,37,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527459,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61204.17892,0.2481,48,48,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527468,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61205.17892,0.2636,65,65,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527475,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61206.17892,0.2171,115,115,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527477,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61207.17892,0.2655,112,112,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527483,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61208.17892,0.2597,108,108,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527484,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61209.17892,0.2287,60,60,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527486,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61210.17892,0.2344,186,186,10.75,6.35,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527487,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61211.17892,0.1946,482,482,10.75,6.35,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527488,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61212.17892,0.2074,176,176,10.75,6.35,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527489,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61213.17892,0.2344,367,367,10.75,6.35,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527490,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61214.17892,0.3043,71,71,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527492,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61215.17892,0.2655,61,61,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527494,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61216.17892,0.2461,102,102,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
